year,raw_ground_truth_polygon_count,has_supplied_ground_truth,status
2000,0,False,no supplied polygon ground truth before 2022
2001,0,False,no supplied polygon ground truth before 2022
2002,0,False,no supplied polygon ground truth before 2022
2003,0,False,no supplied polygon ground truth before 2022
2004,0,False,no supplied polygon ground truth before 2022
2005,0,False,no supplied polygon ground truth before 2022
2006,0,False,no supplied polygon ground truth before 2022
2007,0,False,no supplied polygon ground truth before 2022
2008,0,False,no supplied polygon ground truth before 2022
2009,0,False,no supplied polygon ground truth before 2022
2010,0,False,no supplied polygon ground truth before 2022
2011,0,False,no supplied polygon ground truth before 2022
2012,0,False,no supplied polygon ground truth before 2022
2013,0,False,no supplied polygon ground truth before 2022
2014,0,False,no supplied polygon ground truth before 2022
2015,0,False,no supplied polygon ground truth before 2022
2016,0,False,no supplied polygon ground truth before 2022
2017,0,False,no supplied polygon ground truth before 2022
2018,0,False,no supplied polygon ground truth before 2022
2019,0,False,no supplied polygon ground truth before 2022
2020,0,False,no supplied polygon ground truth before 2022
2021,0,False,no supplied polygon ground truth before 2022
2022,2413,True,labelled ground truth
2023,11945,True,labelled ground truth
2024,0,False,no supplied polygon ground truth
2025,0,False,no supplied polygon ground truth
